tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
AFC Asian Cup 2019,Group Stage,United Arab Emirates,Bahrain,1,1,,,,
AFC Asian Cup 2019,Group Stage,Thailand,India,1,4,,,,
AFC Asian Cup 2019,Group Stage,India,Bahrain,0,1,,,,
AFC Asian Cup 2019,Group Stage,United Arab Emirates,Thailand,1,1,,,,
AFC Asian Cup 2019,Group Stage,India,United Arab Emirates,0,2,,,,
AFC Asian Cup 2019,Group Stage,Bahrain,Thailand,1,0,,,,
AFC Asian Cup 2019,Group Stage,Australia,Syria,3,2,,,,
AFC Asian Cup 2019,Group Stage,Palestine,Jordan,0,5,,,,
AFC Asian Cup 2019,Group Stage,Jordan,Syria,2,0,,,,
AFC Asian Cup 2019,Group Stage,Australia,Palestine,3,0,,,,
AFC Asian Cup 2019,Group Stage,Syria,Palestine,3,2,,,,
AFC Asian Cup 2019,Group Stage,Jordan,Australia,0,1,,,,
AFC Asian Cup 2019,Group Stage,Iran,Yemen,5,0,,,,
AFC Asian Cup 2019,Group Stage,Vietnam,Oman,0,1,,,,
AFC Asian Cup 2019,Group Stage,Iran,Vietnam,2,0,,,,
AFC Asian Cup 2019,Group Stage,Oman,Yemen,4,0,,,,
AFC Asian Cup 2019,Group Stage,Yemen,Vietnam,0,2,,,,
AFC Asian Cup 2019,Group Stage,Iran,Oman,2,0,,,,
AFC Asian Cup 2019,Group Stage,Japan,Turkmenistan,3,2,,,,
AFC Asian Cup 2019,Group Stage,Oman,Uzbekistan,2,1,,,,
AFC Asian Cup 2019,Group Stage,Japan,Oman,2,1,,,,
AFC Asian Cup 2019,Group Stage,Turkmenistan,Uzbekistan,2,1,,,,
AFC Asian Cup 2019,Group Stage,Japan,Uzbekistan,2,1,,,,
AFC Asian Cup 2019,Group Stage,Turkmenistan,Oman,1,3,,,,
AFC Asian Cup 2019,Group Stage,South Korea,China PR,1,0,,,,
AFC Asian Cup 2019,Group Stage,Philippines,Kyrgyzstan,0,3,,,,
AFC Asian Cup 2019,Group Stage,South Korea,Philippines,1,0,,,,
AFC Asian Cup 2019,Group Stage,China PR,Kyrgyzstan,2,1,,,,
AFC Asian Cup 2019,Group Stage,Kyrgyzstan,South Korea,1,2,,,,
AFC Asian Cup 2019,Group Stage,Philippines,China PR,0,3,,,,
AFC Asian Cup 2019,Group Stage,Qatar,Lebanon,2,0,,,,
AFC Asian Cup 2019,Group Stage,Syria,North Korea,1,1,,,,
AFC Asian Cup 2019,Group Stage,Qatar,Syria,2,0,,,,
AFC Asian Cup 2019,Group Stage,Lebanon,North Korea,4,1,,,,
AFC Asian Cup 2019,Group Stage,North Korea,Qatar,1,2,,,,
AFC Asian Cup 2019,Group Stage,Syria,Lebanon,1,2,,,,
AFC Asian Cup 2019,Round of 16,Qatar,Iraq,1,0,,,,
AFC Asian Cup 2019,Round of 16,Japan,Saudi Arabia,1,0,,,,
AFC Asian Cup 2019,Round of 16,South Korea,Bahrain,2,1,,,,
AFC Asian Cup 2019,Round of 16,United Arab Emirates,Australia,1,0,,,,
AFC Asian Cup 2019,Round of 16,Thailand,China PR,1,2,,,,
AFC Asian Cup 2019,Round of 16,Vietnam,Jordan,1,1,1,0,
AFC Asian Cup 2019,Round of 16,Iran,Oman,2,0,,,,
AFC Asian Cup 2019,Round of 16,Qatar,South Korea,1,1,,,4,3
AFC Asian Cup 2019,Quarterfinal,Japan,Vietnam,1,0,,,,
AFC Asian Cup 2019,Quarterfinal,Qatar,South Korea,1,0,,,,
AFC Asian Cup 2019,Quarterfinal,Iran,Oman,2,0,,,,
AFC Asian Cup 2019,Quarterfinal,United Arab Emirates,Thailand,2,1,,,,
AFC Asian Cup 2019,Semifinal,Qatar,Iran,4,0,,,,
AFC Asian Cup 2019,Semifinal,Japan,United Arab Emirates,1,0,,,,
AFC Asian Cup 2019,Final,Qatar,Japan,3,1,,,,
