tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score,extra_time,penalties
AFC,Group,Vietnam,United Arab Emirates,0,2,0,0,0,0,False,False
AFC,Group,Qatar,Iran,0,1,0,0,0,0,False,False
AFC,Group,Vietnam,Qatar,2,0,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Iran,2,1,0,0,0,0,False,False
AFC,Group,Vietnam,Iran,0,2,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Qatar,1,1,0,0,0,0,False,False
AFC,Group,Thailand,Iraq,1,1,0,0,0,0,False,False
AFC,Group,Uzbekistan,Saudi Arabia,2,2,0,0,0,0,False,False
AFC,Group,Thailand,Uzbekistan,1,2,0,0,0,0,False,False
AFC,Group,Iraq,Saudi Arabia,1,0,0,0,0,0,False,False
AFC,Group,Thailand,Saudi Arabia,0,2,0,0,0,0,False,False
AFC,Group,Iraq,Uzbekistan,2,0,0,0,0,0,False,False
AFC,Group,Japan,Oman,1,1,0,0,0,0,False,False
AFC,Group,Thailand,Indonesia,3,1,0,0,0,0,False,False
AFC,Group,Japan,Thailand,3,1,0,0,0,0,False,False
AFC,Group,Oman,Indonesia,2,1,0,0,0,0,False,False
AFC,Group,Japan,Indonesia,5,0,0,0,0,0,False,False
AFC,Group,Oman,Thailand,1,0,0,0,0,0,False,False
AFC,Group,South Korea,China,2,0,0,0,0,0,False,False
AFC,Group,Saudi Arabia,Malaysia,5,0,0,0,0,0,False,False
AFC,Group,South Korea,Saudi Arabia,0,1,0,0,0,0,False,False
AFC,Group,China,Malaysia,5,1,0,0,0,0,False,False
AFC,Group,South Korea,Malaysia,5,1,0,0,0,0,False,False
AFC,Group,China,Saudi Arabia,0,0,0,0,0,0,False,False
AFC,Group,Qatar,Korea Republic,0,2,0,0,0,0,False,False
AFC,Group,Uzbekistan,Kuwait,2,0,0,0,0,0,False,False
AFC,Group,Qatar,Uzbekistan,2,1,0,0,0,0,False,False
AFC,Group,Kuwait,Korea Republic,0,3,0,0,0,0,False,False
AFC,Group,Qatar,Kuwait,2,0,0,0,0,0,False,False
AFC,Group,Uzbekistan,Korea Republic,1,1,0,0,0,0,False,False
AFC,Group,Japan,Jordan,2,1,0,0,0,0,False,False
AFC,Group,Syria,Saudi Arabia,2,1,0,0,0,0,False,False
AFC,Group,Japan,Syria,2,1,0,0,0,0,False,False
AFC,Group,Jordan,Saudi Arabia,1,0,0,0,0,0,False,False
AFC,Group,Japan,Saudi Arabia,5,0,0,0,0,0,False,False
AFC,Group,Jordan,Syria,2,1,0,0,0,0,False,False
AFC,Group,Australia,India,4,0,0,0,0,0,False,False
AFC,Group,Bahrain,South Korea,2,3,0,0,0,0,False,False
AFC,Group,Australia,Bahrain,1,1,0,0,0,0,False,False
AFC,Group,India,South Korea,1,4,0,0,0,0,False,False
AFC,Group,Australia,South Korea,1,0,0,0,0,0,False,False
AFC,Group,Bahrain,India,5,2,0,0,0,0,False,False
AFC,Group,Iran,United Arab Emirates,2,1,0,0,0,0,False,False
AFC,Group,Iraq,Jordan,1,0,0,0,0,0,False,False
AFC,Group,Iran,Iraq,1,0,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Jordan,1,2,0,0,0,0,False,False
AFC,Group,Iran,Jordan,2,0,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Iraq,1,0,0,0,0,0,False,False
AFC,Group,Australia,Kuwait,4,1,0,0,0,0,False,False
AFC,Group,South Korea,Oman,1,1,0,0,0,0,False,False
AFC,Group,Australia,Oman,4,0,0,0,0,0,False,False
AFC,Group,South Korea,Kuwait,1,0,0,0,0,0,False,False
AFC,Group,Australia,South Korea,2,1,0,0,0,0,False,False
AFC,Group,Kuwait,Oman,1,1,0,0,0,0,False,False
AFC,Group,China,Saudi Arabia,1,0,0,0,0,0,False,False
AFC,Group,North Korea,Uzbekistan,0,1,0,0,0,0,False,False
AFC,Group,China,North Korea,2,1,0,0,0,0,False,False
AFC,Group,Saudi Arabia,Uzbekistan,0,1,0,0,0,0,False,False
AFC,Group,China,Uzbekistan,0,0,0,0,0,0,False,False
AFC,Group,Saudi Arabia,North Korea,3,1,0,0,0,0,False,False
AFC,Group,Japan,Iraq,1,0,0,0,0,0,False,False
AFC,Group,Jordan,Palestine,5,1,0,0,0,0,False,False
AFC,Group,Japan,Jordan,2,0,0,0,0,0,False,False
AFC,Group,Iraq,Palestine,0,0,0,0,0,0,False,False
AFC,Group,Japan,Palestine,4,0,0,0,0,0,False,False
AFC,Group,Iraq,Jordan,0,1,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Qatar,4,1,0,0,0,0,False,False
AFC,Group,Iran,Bahrain,2,0,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Iran,1,0,0,0,0,0,False,False
AFC,Group,Qatar,Bahrain,1,2,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Bahrain,3,2,0,0,0,0,False,False
AFC,Group,Qatar,Iran,1,2,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Bahrain,1,1,0,0,0,0,False,False
AFC,Group,Thailand,India,1,4,0,0,0,0,False,False
AFC,Group,India,Bahrain,0,1,0,0,0,0,False,False
AFC,Group,United Arab Emirates,Thailand,1,1,0,0,0,0,False,False
AFC,Group,India,United Arab Emirates,0,2,0,0,0,0,False,False
AFC,Group,Bahrain,Thailand,1,0,0,0,0,0,False,False
AFC,Group,Australia,Syria,3,2,0,0,0,0,False,False
AFC,Group,Palestine,Jordan,0,5,0,0,0,0,False,False
AFC,Group,Jordan,Syria,2,0,0,0,0,0,False,False
