tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score,extra_time,penalties
World cup,group,France,Senegal,0,1,0,0,0,0,False,False
World cup,group,Uruguay,Denmark,1,2,0,0,0,0,False,False
World cup,group,Denmark,Senegal,1,1,0,0,0,0,False,False
World cup,group,France,Uruguay,0,0,0,0,0,0,False,False
World cup,group,Denmark,France,2,0,0,0,0,0,False,False
World cup,group,Senegal,Uruguay,3,3,0,0,0,0,False,False
World cup,group,Paraguay,South Africa,2,2,0,0,0,0,False,False
World cup,group,Spain,Slovenia,3,1,0,0,0,0,False,False
World cup,group,South Africa,Slovenia,1,0,0,0,0,0,False,False
World cup,group,Spain,Paraguay,3,1,0,0,0,0,False,False
World cup,group,South Africa,Spain,2,3,0,0,0,0,False,False
World cup,group,Slovenia,Paraguay,1,3,0,0,0,0,False,False
World cup,group,Brazil,Turkey,2,1,0,0,0,0,False,False
World cup,group,China,Costa Rica,0,2,0,0,0,0,False,False
World cup,group,Costa Rica,Turkey,1,1,0,0,0,0,False,False
World cup,group,Brazil,China,4,0,0,0,0,0,False,False
World cup,group,Costa Rica,Brazil,2,5,0,0,0,0,False,False
World cup,group,Turkey,China,3,0,0,0,0,0,False,False
World cup,group,South Korea,Poland,2,0,0,0,0,0,False,False
World cup,group,USA,Portugal,3,2,0,0,0,0,False,False
World cup,group,South Korea,USA,1,1,0,0,0,0,False,False
World cup,group,Portugal,Poland,4,0,0,0,0,0,False,False
World cup,group,Portugal,South Korea,0,1,0,0,0,0,False,False
World cup,group,Poland,USA,3,1,0,0,0,0,False,False
World cup,group,Germany,Saudi Arabia,8,0,0,0,0,0,False,False
World cup,group,Ireland,Cameroon,1,1,0,0,0,0,False,False
World cup,group,Cameroon,Saudi Arabia,1,0,0,0,0,0,False,False
World cup,group,Germany,Ireland,1,1,0,0,0,0,False,False
World cup,group,Saudi Arabia,Ireland,0,3,0,0,0,0,False,False
World cup,group,Cameroon,Germany,0,2,0,0,0,0,False,False
World cup,group,Argentina,Nigeria,1,0,0,0,0,0,False,False
World cup,group,England,Sweden,1,1,0,0,0,0,False,False
World cup,group,Sweden,Nigeria,2,1,0,0,0,0,False,False
