tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score,extra_time,penalties
Copa,group,Colombia,Venezuela,2,0,0,0,0,0,False,False
Copa,group,Chile,Ecuador,4,1,0,0,0,0,False,False
Copa,group,Colombia,Ecuador,1,0,0,0,0,0,False,False
Copa,group,Chile,Venezuela,0,2,0,0,0,0,False,False
Copa,group,Colombia,Chile,2,0,0,0,0,0,False,False
Copa,group,Venezuela,Ecuador,0,4,0,0,0,0,False,False
Copa,group,Mexico,Brazil,1,0,0,0,0,0,False,False
Copa,group,Paraguay,Peru,2,2,0,0,0,0,False,False
Copa,group,Mexico,Peru,2,1,0,0,0,0,False,False
Copa,group,Brazil,Paraguay,3,1,0,0,0,0,False,False
Copa,group,Mexico,Paraguay,0,0,0,0,0,0,False,False
Copa,group,Brazil,Peru,2,0,0,0,0,0,False,False
Copa,group,Costa Rica,Honduras,1,0,0,0,0,0,False,False
Copa,group,Uruguay,Bolivia,1,0,0,0,0,0,False,False
Copa,group,Costa Rica,Bolivia,4,0,0,0,0,0,False,False
Copa,group,Uruguay,Honduras,0,1,0,0,0,0,False,False
Copa,group,Honduras,Bolivia,2,0,0,0,0,0,False,False
Copa,group,Uruguay,Costa Rica,2,1,0,0,0,0,False,False
Copa,knockout,Colombia,Peru,3,0,0,0,0,0,False,False
Copa,knockout,Mexico,Chile,2,0,0,0,0,0,False,False
Copa,knockout,Brazil,Honduras,0,2,0,0,0,0,False,False
Copa,knockout,Uruguay,Costa Rica,2,1,0,0,0,0,False,False
Copa,knockout,Colombia,Honduras,2,0,0,0,0,0,False,False
Copa,knockout,Mexico,Uruguay,2,1,0,0,0,0,False,False
Copa,knockout,Honduras,Uruguay,2,2,0,0,5,4,True,True
Copa,knockout,Colombia,Mexico,1,0,0,0,0,0,False,False
Copa,group,Peru,Bolivia,2,2,0,0,0,0,False,False
Copa,group,Colombia,Venezuela,1,0,0,0,0,0,False,False
Copa,group,Peru,Venezuela,3,1,0,0,0,0,False,False
Copa,group,Colombia,Bolivia,1,0,0,0,0,0,False,False
Copa,group,Peru,Colombia,2,2,0,0,0,0,False,False
Copa,group,Bolivia,Venezuela,1,1,0,0,0,0,False,False
Copa,group,Paraguay,Costa Rica,1,0,0,0,0,0,False,False
Copa,group,Brazil,Chile,1,0,0,0,0,0,False,False
Copa,group,Chile,Costa Rica,1,2,0,0,0,0,False,False
Copa,group,Brazil,Paraguay,2,1,0,0,0,0,False,False
Copa,group,Costa Rica,Brazil,2,4,0,0,0,0,False,False
Copa,group,Paraguay,Chile,1,1,0,0,0,0,False,False
Copa,group,Uruguay,Mexico,2,2,0,0,0,0,False,False
Copa,group,Argentina,Ecuador,6,1,0,0,0,0,False,False
Copa,group,Uruguay,Ecuador,2,1,0,0,0,0,False,False
Copa,group,Mexico,Argentina,1,0,0,0,0,0,False,False
Copa,group,Mexico,Ecuador,2,1,0,0,0,0,False,False
Copa,group,Argentina,Uruguay,4,2,0,0,0,0,False,False
Copa,knockout,Peru,Argentina,0,1,0,0,0,0,False,False
Copa,knockout,Colombia,Costa Rica,2,0,0,0,0,0,False,False
Copa,knockout,Brazil,Mexico,4,0,0,0,0,0,False,False
Copa,knockout,Uruguay,Paraguay,3,1,0,0,0,0,False,False
Copa,knockout,Argentina,Colombia,3,0,0,0,0,0,False,False
Copa,knockout,Brazil,Uruguay,1,1,0,0,5,3,True,True
Copa,knockout,Uruguay,Colombia,2,1,0,0,0,0,False,False
Copa,knockout,Brazil,Argentina,2,2,0,0,4,2,True,True
Copa,group,Venezuela,Bolivia,2,2,0,0,0,0,False,False
Copa,group,Peru,Uruguay,3,0,0,0,0,0,False,False
Copa,group,Venezuela,Peru,2,0,0,0,0,0,False,False
Copa,group,Uruguay,Bolivia,1,0,0,0,0,0,False,False
Copa,group,Uruguay,Venezuela,0,0,0,0,0,0,False,False
Copa,group,Bolivia,Peru,2,2,0,0,0,0,False,False
Copa,group,Ecuador,Chile,2,3,0,0,0,0,False,False
Copa,group,Brazil,Mexico,0,2,0,0,0,0,False,False
Copa,group,Brazil,Chile,3,0,0,0,0,0,False,False
Copa,group,Mexico,Ecuador,2,1,0,0,0,0,False,False
Copa,group,Mexico,Chile,0,0,0,0,0,0,False,False
Copa,group,Brazil,Ecuador,1,0,0,0,0,0,False,False
Copa,group,Paraguay,Colombia,5,0,0,0,0,0,False,False
Copa,group,Argentina,United States,4,1,0,0,0,0,False,False
Copa,group,Paraguay,United States,3,1,0,0,0,0,False,False
Copa,group,Argentina,Colombia,4,2,0,0,0,0,False,False
Copa,group,United States,Colombia,0,1,0,0,0,0,False,False
Copa,group,Argentina,Paraguay,1,0,0,0,0,0,False,False
Copa,knockout,Venezuela,Uruguay,1,4,0,0,0,0,False,False
Copa,knockout,Chile,Brazil,1,6,0,0,0,0,False,False
Copa,knockout,Mexico,Paraguay,6,0,0,0,0,0,False,False
Copa,knockout,Argentina,Peru,4,0,0,0,0,0,False,False
Copa,knockout,Uruguay,Brazil,2,2,0,0,4,5,True,True
