tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score,extra_time,penalties
Copa,Group,Paraguay,Peru,2,2,0,0,0,0,False,False
Copa,Group,Uruguay,Chile,2,1,0,0,0,0,False,False
Copa,Group,Argentina,Ecuador,1,0,0,0,0,0,False,False
Copa,Group,Colombia,Venezuela,3,0,0,0,0,0,False,False
Copa,Group,Brazil,Bolivia,5,0,0,0,0,0,False,False
Copa,Group,Bolivia,Argentina,1,2,0,0,0,0,False,False
Copa,Group,Ecuador,Uruguay,4,2,0,0,0,0,False,False
Copa,Group,Venezuela,Paraguay,0,1,0,0,0,0,False,False
Copa,Group,Peru,Brazil,2,4,0,0,0,0,False,False
Copa,Group,Chile,Colombia,2,2,0,0,0,0,False,False
Copa,Group,Bolivia,Ecuador,2,3,0,0,0,0,False,False
Copa,Group,Argentina,Paraguay,1,1,0,0,0,0,False,False
Copa,Group,Colombia,Uruguay,0,3,0,0,0,0,False,False
Copa,Group,Chile,Peru,2,0,0,0,0,0,False,False
Copa,Group,Brazil,Venezuela,1,0,0,0,0,0,False,False
Copa,Group,Ecuador,Colombia,6,1,0,0,0,0,False,False
Copa,Group,Uruguay,Brazil,0,2,0,0,0,0,False,False
Copa,Group,Venezuela,Chile,2,1,0,0,0,0,False,False
Copa,Group,Paraguay,Bolivia,2,2,0,0,0,0,False,False
Copa,Group,Peru,Argentina,0,2,0,0,0,0,False,False
Copa,Group,Bolivia,Venezuela,3,1,0,0,0,0,False,False
Copa,Group,Uruguay,Paraguay,0,0,0,0,0,0,False,False
Copa,Group,Argentina,Chile,1,1,0,0,0,0,False,False
Copa,Group,Peru,Colombia,0,3,0,0,0,0,False,False
Copa,Group,Brazil,Ecuador,2,0,0,0,0,0,False,False
Copa,Group,Ecuador,Peru,1,2,0,0,0,0,False,False
Copa,Group,Venezuela,Uruguay,0,0,0,0,0,0,False,False
Copa,Group,Colombia,Argentina,2,2,0,0,0,0,False,False
Copa,Group,Paraguay,Brazil,0,2,0,0,0,0,False,False
Copa,Group,Chile,Bolivia,1,1,0,0,0,0,False,False
Copa,Group,Bolivia,Colombia,1,1,0,0,0,0,False,False
Copa,Group,Ecuador,Paraguay,2,0,0,0,0,0,False,False
Copa,Group,Venezuela,Argentina,1,3,0,0,0,0,False,False
Copa,Group,Peru,Uruguay,1,1,0,0,0,0,False,False
Copa,Group,Chile,Brazil,0,1,0,0,0,0,False,False
Copa,Group,Uruguay,Ecuador,1,0,0,0,0,0,False,False
Copa,Group,Paraguay,Venezuela,2,1,0,0,0,0,False,False
Copa,Group,Colombia,Chile,3,1,0,0,0,0,False,False
Copa,Group,Argentina,Bolivia,3,0,0,0,0,0,False,False
Copa,Group,Brazil,Peru,2,0,0,0,0,0,False,False
Copa,Group,Uruguay,Colombia,0,0,0,0,0,0,False,False
Copa,Group,Paraguay,Argentina,0,0,0,0,0,0,False,False
