tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
Copa América 2004,Group A,Peru,Bolivia,2,2,0,0,,
Copa América 2004,Group A,Colombia,Venezuela,1,0,0,0,,
Copa América 2004,Group A,Peru,Venezuela,3,1,0,0,,
Copa América 2004,Group A,Colombia,Bolivia,1,0,0,0,,
Copa América 2004,Group A,Peru,Colombia,2,2,0,0,,
Copa América 2004,Group A,Bolivia,Venezuela,1,1,0,0,,
Copa América 2004,Group B,Paraguay,Costa Rica,1,0,0,0,,
Copa América 2004,Group B,Brazil,Chile,1,0,0,0,,
Copa América 2004,Group B,Chile,Costa Rica,1,2,0,0,,
Copa América 2004,Group B,Brazil,Paraguay,2,1,0,0,,
Copa América 2004,Group B,Costa Rica,Brazil,2,4,0,0,,
Copa América 2004,Group B,Paraguay,Chile,1,1,0,0,,
Copa América 2004,Group C,Uruguay,Mexico,2,2,0,0,,
Copa América 2004,Group C,Argentina,Ecuador,6,1,0,0,,
Copa América 2004,Group C,Uruguay,Ecuador,2,1,0,0,,
Copa América 2004,Group C,Mexico,Argentina,1,0,0,0,,
Copa América 2004,Group C,Mexico,Ecuador,2,1,0,0,,
Copa América 2004,Group C,Argentina,Uruguay,4,2,0,0,,
Copa América 2004,Quarter-final,Peru,Argentina,0,1,0,0,,
Copa América 2004,Quarter-final,Colombia,Costa Rica,2,0,0,0,,
Copa América 2004,Quarter-final,Brazil,Mexico,4,0,0,0,,
Copa América 2004,Quarter-final,Uruguay,Paraguay,3,1,0,0,,
Copa América 2004,Semi-final,Argentina,Colombia,3,0,0,0,,
Copa América 2004,Semi-final,Brazil,Uruguay,1,1,0,0,5,3
Copa América 2004,Third place play-off,Uruguay,Colombia,2,1,0,0,,
Copa América 2004,Final,Brazil,Argentina,2,2,0,0,4,2
