tournament,match_stage,home_team,away_team,home_score,away_score,extra_time_home_score,extra_time_away_score,penalties_home_score,penalties_away_score
UEFA Euro 2008,Group A,Switzerland,Czech Republic,0,1,0,0,,
UEFA Euro 2008,Group A,Portugal,Turkey,2,0,0,0,,
UEFA Euro 2008,Group A,Czech Republic,Portugal,1,3,0,0,,
UEFA Euro 2008,Group A,Switzerland,Turkey,1,2,0,0,,
UEFA Euro 2008,Group A,Switzerland,Portugal,2,0,0,0,,
UEFA Euro 2008,Group A,Turkey,Czech Republic,2,2,0,0,,
UEFA Euro 2008,Group B,Austria,Croatia,0,1,0,0,,
UEFA Euro 2008,Group B,Germany,Poland,2,0,0,0,,
UEFA Euro 2008,Group B,Croatia,Germany,2,1,0,0,,
UEFA Euro 2008,Group B,Austria,Poland,1,1,0,0,,
UEFA Euro 2008,Group B,Poland,Croatia,0,1,0,0,,
UEFA Euro 2008,Group B,Austria,Germany,0,1,0,0,,
UEFA Euro 2008,Group C,Romania,France,0,0,0,0,,
UEFA Euro 2008,Group C,Netherlands,Italy,3,0,0,0,,
UEFA Euro 2008,Group C,Italy,Romania,1,1,0,0,,
UEFA Euro 2008,Group C,Netherlands,France,4,1,0,0,,
UEFA Euro 2008,Group C,Netherlands,Romania,2,0,0,0,,
UEFA Euro 2008,Group C,France,Italy,0,2,0,0,,
UEFA Euro 2008,Group D,Spain,Russia,4,1,0,0,,
UEFA Euro 2008,Group D,Greece,Sweden,0,2,0,0,,
UEFA Euro 2008,Group D,Sweden,Spain,1,2,0,0,,
UEFA Euro 2008,Group D,Greece,Russia,0,1,0,0,,
UEFA Euro 2008,Group D,Greece,Spain,1,2,0,0,,
UEFA Euro 2008,Group D,Russia,Sweden,2,0,0,0,,
UEFA Euro 2008,Quarter-final,Portugal,Germany,2,3,0,0,,
UEFA Euro 2008,Quarter-final,Croatia,Turkey,0,0,1,1,1,3
UEFA Euro 2008,Quarter-final,Netherlands,Russia,1,1,0,2,,
UEFA Euro 2008,Quarter-final,Spain,Italy,0,0,0,0,4,2
UEFA Euro 2008,Semi-final,Germany,Turkey,3,2,0,0,,
UEFA Euro 2008,Semi-final,Russia,Spain,0,3,0,0,,
UEFA Euro 2008,Final,Germany,Spain,0,1,0,0,,
